Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-01,COMERTBANK,USD,"17,65","17,90"
2023-12-01,COMERTBANK,EUR,"19,25","19,55"
2023-12-02,COMERTBANK,USD,"17,70","17,90"
2023-12-02,COMERTBANK,EUR,"19,15","19,55"
2023-12-03,COMERTBANK,USD,"17,70","17,90"
2023-12-03,COMERTBANK,EUR,"19,15","19,55"
2023-12-04,COMERTBANK,USD,"17,60","17,90"
2023-12-04,COMERTBANK,EUR,"19,15","19,50"
2023-12-05,COMERTBANK,USD,"17,63","17,85"
2023-12-05,COMERTBANK,EUR,"19,05","19,35"
2023-12-06,COMERTBANK,USD,"17,60","17,85"
2023-12-06,COMERTBANK,EUR,"19,00","19,30"
2023-12-07,COMERTBANK,USD,"17,64","17,85"
2023-12-07,COMERTBANK,EUR,"19,05","19,30"
2023-12-08,COMERTBANK,USD,"17,70","17,90"
2023-12-08,COMERTBANK,EUR,"19,10","19,30"
2023-12-09,COMERTBANK,USD,"17,70","17,90"
2023-12-09,COMERTBANK,EUR,"19,10","19,30"
2023-12-10,COMERTBANK,USD,"17,70","17,90"
2023-12-10,COMERTBANK,EUR,"19,10","19,30"
2023-12-11,COMERTBANK,USD,"17,75","17,95"
2023-12-11,COMERTBANK,EUR,"19,15","19,40"
2023-12-12,COMERTBANK,USD,"17,82","18,05"
2023-12-12,COMERTBANK,EUR,"19,25","19,50"
2023-12-13,COMERTBANK,USD,"17,85","18,05"
2023-12-13,COMERTBANK,EUR,"19,25","19,50"
2023-12-14,COMERTBANK,USD,"17,70","18,00"
2023-12-14,COMERTBANK,EUR,"19,20","19,50"
2023-12-15,COMERTBANK,USD,"17,55","17,90"
2023-12-15,COMERTBANK,EUR,"19,25","19,55"
2023-12-16,COMERTBANK,USD,"17,55","17,90"
2023-12-16,COMERTBANK,EUR,"19,25","19,55"
2023-12-17,COMERTBANK,USD,"17,55","17,90"
2023-12-17,COMERTBANK,EUR,"19,25","19,55"
2023-12-18,COMERTBANK,USD,"17,55","17,85"
2023-12-18,COMERTBANK,EUR,"19,10","19,50"
2023-12-19,COMERTBANK,USD,"17,45","17,75"
2023-12-19,COMERTBANK,EUR,"19,05","19,40"
2023-12-20,COMERTBANK,USD,"17,45","17,65"
2023-12-20,COMERTBANK,EUR,"19,14","19,40"
2023-12-21,COMERTBANK,USD,"17,50","17,75"
2023-12-21,COMERTBANK,EUR,"19,21","19,40"
2023-12-22,COMERTBANK,USD,"17,40","17,70"
2023-12-22,COMERTBANK,EUR,"19,17","19,45"
2023-12-23,COMERTBANK,USD,"17,40","17,70"
2023-12-23,COMERTBANK,EUR,"19,17","19,45"
2023-12-24,COMERTBANK,USD,"17,40","17,70"
2023-12-24,COMERTBANK,EUR,"19,17","19,45"
2023-12-25,COMERTBANK,USD,"17,40","17,70"
2023-12-25,COMERTBANK,EUR,"19,17","19,45"
2023-12-26,COMERTBANK,USD,"17,30","17,65"
2023-12-26,COMERTBANK,EUR,"19,05","19,40"
2023-12-27,COMERTBANK,USD,"17,30","17,55"
2023-12-27,COMERTBANK,EUR,"19,08","19,35"
2023-12-28,COMERTBANK,USD,"17,20","17,50"
2023-12-28,COMERTBANK,EUR,"19,00","19,35"
2023-12-29,COMERTBANK,USD,"17,25","17,55"
2023-12-29,COMERTBANK,EUR,"19,12","19,45"
2023-12-30,COMERTBANK,USD,"17,25","17,55"
2023-12-30,COMERTBANK,EUR,"19,12","19,45"
2023-12-31,COMERTBANK,USD,"17,25","17,55"
2023-12-31,COMERTBANK,EUR,"19,12","19,45"
