Date,Bank,Currency,Buy Rate,Sell Rate,Week
2023-12-18,MAIB,RON,"3,79","3,95",2890174
2023-12-18,VICTORIABANK,USD,"17,53","17,89",2890174
2023-12-18,MICB,USD,"17,47","17,83",2890174
2023-12-18,MAIB,USD,"17,54","17,84",2890174
2023-12-18,MAIB,UAH,"0,44","0,50",2890174
2023-12-18,VICTORIABANK,RON,"3,77","3,96",2890174
2023-12-18,MICB,RON,"3,80","3,98",2890174
2023-12-18,VICTORIABANK,GBP,"22,00","22,80",2890174
2023-12-18,VICTORIABANK,CHF,"20,00","20,70",2890174
2023-12-18,MAIB,GBP,"22,10","22,63",2890174
2023-12-18,VICTORIABANK,EUR,"19,10","19,55",2890174
2023-12-18,MICB,EUR,"19,07","19,44",2890174
2023-12-18,MAIB,EUR,"19,14","19,46",2890174
2023-12-18,MICB,CHF,"19,70","20,70",2890174
2023-12-18,MAIB,CHF,"20,00","20,52",2890174
2023-12-18,MICB,GBP,"21,00","22,80",2890174
2023-12-19,MAIB,RON,"3,78","3,93",2890174
2023-12-19,VICTORIABANK,USD,"17,40","17,79",2890174
2023-12-19,MICB,USD,"17,38","17,73",2890174
2023-12-19,MAIB,USD,"17,45","17,75",2890174
2023-12-19,MAIB,UAH,"0,44","0,50",2890174
2023-12-19,VICTORIABANK,RON,"3,74","3,94",2890174
2023-12-19,VICTORIABANK,GBP,"21,80","22,63",2890174
2023-12-19,MICB,RON,"3,78","3,96",2890174
2023-12-19,MAIB,GBP,"21,90","22,47",2890174
2023-12-19,VICTORIABANK,EUR,"18,95","19,43",2890174
2023-12-19,MICB,GBP,"21,00","22,60",2890174
2023-12-19,MICB,EUR,"18,95","19,38",2890174
2023-12-19,MAIB,EUR,"19,07","19,39",2890174
2023-12-19,VICTORIABANK,CHF,"19,87","20,68",2890174
2023-12-19,MICB,CHF,"19,60","20,60",2890174
2023-12-19,MAIB,CHF,"19,95","20,48",2890174
2023-12-20,MICB,USD,"17,28","17,63",2890174
2023-12-20,MAIB,USD,"17,35","17,65",2890174
2023-12-20,MAIB,UAH,"0,44","0,50",2890174
2023-12-20,VICTORIABANK,RON,"3,77","3,96",2890174
2023-12-20,MICB,RON,"3,77","3,95",2890174
2023-12-20,MAIB,RON,"3,77","3,92",2890174
2023-12-20,VICTORIABANK,GBP,"21,83","22,67",2890174
2023-12-20,VICTORIABANK,USD,"17,35","17,75",2890174
2023-12-20,MAIB,GBP,"21,90","22,45",2890174
2023-12-20,VICTORIABANK,EUR,"18,95","19,45",2890174
2023-12-20,MICB,EUR,"18,89","19,36",2890174
2023-12-20,MAIB,EUR,"19,05","19,37",2890174
2023-12-20,VICTORIABANK,CHF,"19,90","20,76",2890174
2023-12-20,MICB,CHF,"19,60","20,60",2890174
2023-12-20,MAIB,CHF,"19,95","20,45",2890174
2023-12-20,MICB,GBP,"21,00","22,50",2890174
2023-12-21,VICTORIABANK,USD,"17,43","17,75",2890174
2023-12-21,MICB,USD,"17,38","17,73",2890174
2023-12-21,MAIB,USD,"17,45","17,75",2890174
2023-12-21,MAIB,UAH,"0,44","0,50",2890174
2023-12-21,VICTORIABANK,RON,"3,81","3,94",2890174
2023-12-21,MICB,RON,"3,75","3,95",2890174
2023-12-21,MAIB,RON,"3,79","3,94",2890174
2023-12-21,VICTORIABANK,GBP,"21,95","22,65",2890174
2023-12-21,MICB,GBP,"21,00","22,40",2890174
2023-12-21,VICTORIABANK,EUR,"19,17","19,49",2890174
2023-12-21,MICB,EUR,"19,03","19,44",2890174
2023-12-21,MAIB,EUR,"19,13","19,45",2890174
2023-12-21,VICTORIABANK,CHF,"20,05","20,76",2890174
2023-12-21,MICB,CHF,"19,50","20,50",2890174
2023-12-21,MAIB,CHF,"20,00","20,60",2890174
2023-12-21,MAIB,GBP,"21,90","22,45",2890174
2023-12-22,MAIB,RON,"3,79","3,94",2890174
2023-12-22,VICTORIABANK,USD,"17,35","17,74",2890174
2023-12-22,MICB,USD,"17,40","17,72",2890174
2023-12-22,MAIB,USD,"17,43","17,73",2890174
2023-12-22,MAIB,UAH,"0,44","0,50",2890174
2023-12-22,MICB,RON,"3,76","3,96",2890174
2023-12-22,VICTORIABANK,GBP,"21,75","22,60",2890174
2023-12-22,VICTORIABANK,RON,"3,80","3,96",2890174
2023-12-22,MAIB,GBP,"21,90","22,50",2890174
2023-12-22,VICTORIABANK,EUR,"19,05","19,53",2890174
2023-12-22,MICB,EUR,"19,11","19,47",2890174
2023-12-22,MICB,GBP,"21,00","22,50",2890174
2023-12-22,MAIB,EUR,"19,17","19,49",2890174
2023-12-22,VICTORIABANK,CHF,"20,00","20,80",2890174
2023-12-22,MICB,CHF,"19,70","20,70",2890174
2023-12-22,MAIB,CHF,"20,00","20,65",2890174
2023-12-23,VICTORIABANK,USD,"17,30","17,70",2890174
2023-12-23,VICTORIABANK,RON,"3,78","3,96",2890174
2023-12-23,VICTORIABANK,EUR,"19,05","19,50",2890174
2023-12-23,VICTORIABANK,CHF,"19,90","20,95",2890174
2023-12-23,VICTORIABANK,GBP,"21,55","22,60",2890174
2023-12-24,VICTORIABANK,CHF,"19,90","20,95",2890174
2023-12-24,VICTORIABANK,EUR,"19,05","19,50",2890174
2023-12-24,VICTORIABANK,GBP,"21,55","22,60",2890174
2023-12-24,VICTORIABANK,RON,"3,78","3,96",2890174
2023-12-24,VICTORIABANK,USD,"17,30","17,70",2890174
