Название продукта,Цена продукта
Azumi Roll,"189,00"
Roll Panko,"180,00"
Rainbow Roll,"179,00"
Maguro Ebi Roll,"165,00"
Green Dragon Roll,"164,00"
Tempura Unaghi Roll,"163,00"
Tuna Roll,"161,00"
Tempura Ton Roll,"156,00"
Tempura Creveți Roll,"156,00"
Tempura Somon Roll,"144,00"
Chuka Roll,"139,00"
Maki Țipar Roll,"110,00"
Banzai Roll,"105,00"
Maki Ebi Roll,"99,00"
Maki Tuna Roll,"99,00"
Vegan Roll,"98,00"
Maki Somon Roll,"90,00"
Maki Avocado Roll,"78,00"
Tempura Salmon,"165,00"
Tipar cremos,"169,00"
Creveta Taivaneza,"164,00"
Kani Kama,"135,00"
Banzai,"124,00"
Chicken Cheese,"99,00"
